title,location,precio,basic_features,extra_features
Piso en venta en avenida de Federico Soto,Centro Tradicional,550000,"['131 m² construidos, 125 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1940', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Navas,Centro Tradicional,310000,"['130 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 3ª interior', 'Sin ascensor']",['En trámite']
Piso en venta en avenida Federico Soto,Centro Tradicional,550000,"['131 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1940', 'Calefacción individual: Bomba de frío/calor', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle del Medico Pascual Perez,Centro Tradicional,230000,"['127 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1977', 'Calefacción individual: Eléctrica', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en rambla Méndez Núñez,Centro Tradicional,280000,"['95 m² construidos, 88 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 2013', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Ángel Lozano,Centro Tradicional,329900,"['184 m² construidos, 174 m² útiles', '5 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1968', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en calle Castaños,Centro Tradicional,220000,"['55 m² construidos, 42 m² útiles', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Centro Tradicional,Centro,1600000,"['408 m² construidos, 340 m² útiles', '7 habitaciones', '4 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1950', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en calle del Teatro,Centro Tradicional,415000,"['122 m² construidos, 95 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1972', 'Planta 8ª exterior', 'Con ascensor']",['En trámite']
Ático en venta en calle del Teatro,Centro Tradicional,415000,"['122 m² construidos, 95 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1972', 'Planta 8ª exterior', 'Con ascensor']",['En trámite']
