title,location,precio,basic_features,extra_features
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,195000,"['153 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2005', 'Calefacción central: Gasoil', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en Isabel La Católica,Benalúa,209990,"['95 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación oeste', 'Planta 1ª exterior', 'Con ascensor']","['Consumo: \n2 kWh/m² año', 'Emisiones:']"
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,105200,"['150 m² construidos, 140 m² útiles', '4 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Construido en 1934', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']",['No indicado']
Piso en venta en Babel,Benalúa-La Florida-Babel-San Gabriel,124900,"['55 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Orientación sur, este', 'Construido en 2006', 'Calefacción individual: Eléctrica', 'Planta 2ª exterior', 'Con ascensor']",['No indicado']
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,119900,"['70 m² construidos', '2 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'No dispone de calefacción', 'Bajo exterior', 'Sin ascensor']",['No indicado']
Piso en venta en La Florida,Benalúa-La Florida-Babel-San Gabriel,74000,"['80 m² construidos, 75 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1970', 'No dispone de calefacción', 'Planta 1ª exterior', 'Sin ascensor']",['Inmueble exento']
Piso en venta en calle lavega,La Florida,79500,"['79 m² construidos, 75 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1990', 'Planta 1ª exterior', 'Sin ascensor']","['Consumo: \n1245 kWh/m² año', 'Emisiones: \n1245 kg CO2/m² año']"
Piso en venta en calle Doctor Just,Benalúa,168000,"['98 m² construidos, 80 m² útiles', '3 habitaciones', '1 baño', 'Plaza de garaje por 22.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Calefacción individual', 'Planta 1ª exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo: \n100 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
Piso en venta en calle Angelina Bendito,Babel,120000,"['45 m² construidos', '1 habitación', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en plaza Navarro Rodrigo,Benalúa,250000,"['180 m² construidos, 150 m² útiles', '6 habitaciones', '3 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle La Vega,La Florida,75000,"['70 m² construidos', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 1970', 'Planta 1ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en calle Fernando Madroñal,Babel,136500,"['85 m² construidos, 80 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur, oeste', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
